ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;selic_sgs_data_obs;erro_prev_menos_real_pp;selic_focus_nresp
2019;201901;2019-01;2019-01-28;6,75;R8/2019;4,5;2019-12-31;2,25;89
2019;201902;2019-02;2019-02-25;6,5;R8/2019;4,5;2019-12-31;2,0;103
2019;201903;2019-03;2019-03-25;6,5;R8/2019;4,5;2019-12-31;2,0;100
2019;201904;2019-04;2019-04-29;6,5;R8/2019;4,5;2019-12-31;2,0;103
2019;201905;2019-05;2019-05-27;6,5;R8/2019;4,5;2019-12-31;2,0;115
2019;201906;2019-06;2019-06-24;5,75;R8/2019;4,5;2019-12-31;1,25;114
2019;201907;2019-07;2019-07-29;5,5;R8/2019;4,5;2019-12-31;1,0;106
2019;201908;2019-08;2019-08-26;5,0;R8/2019;4,5;2019-12-31;0,5;101
2019;201909;2019-09;2019-09-30;4,75;R8/2019;4,5;2019-12-31;0,25;111
2019;201910;2019-10;2019-10-28;4,5;R8/2019;4,5;2019-12-31;0,0;112
2019;201911;2019-11;2019-11-25;4,5;R8/2019;4,5;2019-12-31;0,0;109
2019;201912;2019-12;2019-12-09;4,5;R8/2019;4,5;2019-12-31;0,0;104
