ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;selic_sgs_data_obs;erro_prev_menos_real_pp;selic_focus_nresp
2022;202201;2022-01;2022-01-31;11,875;R8/2022;13,75;2022-12-31;-1,875;92
2022;202202;2022-02;2022-02-21;12,25;R8/2022;13,75;2022-12-31;-1,5;67
2022;202203;2022-03;2022-03-28;13,0;R8/2022;13,75;2022-12-31;-0,75;85
2022;202204;2022-04;2022-04-25;13,25;R8/2022;13,75;2022-12-31;-0,5;84
2022;202205;2022-05;2022-05-30;13,25;R8/2022;13,75;2022-12-31;-0,5;39
2022;202206;2022-06;2022-06-27;13,75;R8/2022;13,75;2022-12-31;0,0;62
2022;202207;2022-07;2022-07-25;13,75;R8/2022;13,75;2022-12-31;0,0;90
2022;202208;2022-08;2022-08-29;13,75;R8/2022;13,75;2022-12-31;0,0;41
2022;202209;2022-09;2022-09-26;13,75;R8/2022;13,75;2022-12-31;0,0;70
2022;202210;2022-10;2022-10-31;13,75;R8/2022;13,75;2022-12-31;0,0;47
2022;202211;2022-11;2022-11-28;13,75;R8/2022;13,75;2022-12-31;0,0;37
2022;202212;2022-12;2022-12-05;13,75;R8/2022;13,75;2022-12-31;0,0;77
