ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;pib_focus_ano_pct;pib_ibge_4tri_yoy_pct;pib_ibge_4tri_disponivel;erro_prev_menos_real_pp;pib_focus_ano_nresp
2024;202401;2024-01;2024-01-29;1,6142;3,4;2025-03-01;-1,7857999999999998;61
2024;202402;2024-02;2024-02-26;1,8;3,4;2025-03-01;-1,5999999999999999;35
2024;202403;2024-03;2024-03-25;1,848;3,4;2025-03-01;-1,5519999999999998;54
2024;202404;2024-04;2024-04-29;2,0993;3,4;2025-03-01;-1,3007;27
2024;202405;2024-05;2024-05-27;2,007;3,4;2025-03-01;-1,3929999999999998;59
2024;202406;2024-06;2024-06-24;2,07;3,4;2025-03-01;-1,33;53
2024;202407;2024-07;2024-07-29;2,2;3,4;2025-03-01;-1,1999999999999997;51
2024;202408;2024-08;2024-08-26;2,4893;3,4;2025-03-01;-0,9106999999999998;67
2024;202409;2024-09;2024-09-30;3,0249;3,4;2025-03-01;-0,37509999999999977;37
2024;202410;2024-10;2024-10-28;3,0761;3,4;2025-03-01;-0,3239000000000001;26
2024;202411;2024-11;2024-11-25;3,2014;3,4;2025-03-01;-0,1985999999999999;81
2024;202412;2024-12;2024-12-30;3,5;3,4;2025-03-01;0,10000000000000009;33
